Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
production helper,"Posted on March 27, 2024",Interbois inc.,"Saint-Odilon, QC",18.77 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40632625?source=searchresults
recreational activities coordinator,"Posted on March 19, 2024",Séguin Daoust Consultants inc.,"Mont-Laurier, QC",24.63 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560530?source=searchresults
administration officer,"Posted on March 28, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Victoriaville, QC",21.89 HOUR,35 hours per week,Casual employmentPart time,,5 vacancies,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40646281?source=searchresults
"driver, truck","Posted on March 28, 2024",Béton Chevalier,"Stoneham-et-Tewkesbury, QC",25.75 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649700?source=searchresults
merchandiser,"Posted on March 03, 2024",PepsiCo Canada,"Saint-Rémi, QC",18.00 HOUR,,Part time,Starts as soon as possible,3 vacancies,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40413871?source=searchresults
community social development officer,"Posted on March 07, 2024",MUNICIPALITE REGIONALE DE COMTE DE L'ISLET,"Saint-Jean-Port-Joli, QC","35,709 YEAR",32 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40449280?source=searchresults
produce clerk,"Posted on March 25, 2024",Marché 5 Saveurs,"Saint-Jérôme, QC",16.00 HOUR,,Permanent employment,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40617887?source=searchresults
assistant personnel officer,"Posted on March 12, 2024",CISSS ABITIBI-TEMISCAMINGUE,"Rouyn-Noranda, QC",27.08 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40493832?source=searchresults
stock control supervisor,"Posted on March 19, 2024",Fed Supply,"Montréal, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40557356?source=searchresults
cabinetmaker's helper,"Posted on March 18, 2024",BOISERIE MIRABEL INC.,"Mirabel, QC",20.00 HOUR,38 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40552775?source=searchresults
crater - manufacturing,"Posted on March 20, 2024",CROUSSET INC.,"Magog, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40569928?source=searchresults
"demonstrator, laboratory - post-secondary teaching assistance","Posted on March 26, 2024",Cégep de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC",24.21 WEEKLY,21 hours per week,Term or contractPart time,,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40628394?source=searchresults
"driver, truck","Posted on March 28, 2024",Les Aliments Bari inc.,"Saint-Léonard-d'Aston, QC",25.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649949?source=searchresults
cook's helper,"Posted on March 14, 2024",Cassis Monna & filles,"Saint-Pierre-de-l'Île-d'Orléans, QC",15.75 HOUR,,Seasonal employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40512233?source=searchresults
accountant,"Posted on March 04, 2024",Gosselin Photo Vidéo Inc.,"Laval, QC","75,000 YEAR",,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40420870?source=searchresults
physical therapist,"Posted on March 12, 2024",CISSS ABITIBI-TEMISCAMINGUE,"Val-d'Or, QC",27.46 HOUR,35 hours per week,Permanent employmentFull time,,4 vacancies,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40493643?source=searchresults
customer service representative - call centre,"Posted on March 17, 2024",Domino's Pizza,"Gatineau, QC",15.25 HOUR,,Part time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40559701?source=searchresults
kinesiologist,"Posted on March 25, 2024",Cyclotonus,"Val-d'Or, QC",25.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40647771?source=searchresults
live-in caregiver - persons with disabilities,"Posted on February 27, 2024",Agreppine KAKLIEU NGAMAKO,"Laval, QC",15.25 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,"Assist clients with bathing and other aspects of personal hygiene, Launder clothing and household linens, Perform light housekeeping and cleaning duties, Provide companionship, Provide personal care","On-site amenities, On-site housing options, Travel insurance",4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40380259?source=searchresults
housekeeping attendant,"Posted on March 25, 2024",9328-2416 QUEBEC INC.,"Mont-Joli, QC",20.50 HOUR,20 hours per week,Permanent employmentPart time leading to full time,,2 vacancies,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40615734?source=searchresults
Systems Engineer,"Posted on February 29, 2024",Canadian Space Agency,"Longueuil, QC","104,135 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40395099?source=searchresults
ticket seller - cashier,"Posted on March 11, 2024",LE DOMAINE FORGET DE CHARLEVOIX INC,"Saint-Irénée, QC",17.00 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40481587?source=searchresults
software architect,"Posted on March 25, 2024",Minister of Public Security,"Québec, QC","71,262 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616674?source=searchresults
financial control manager,"Posted on March 07, 2024",Consortium de coopération des entreprises collectives,"Québec, QC","80,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40451490?source=searchresults
design technician - drafting,"Posted on March 27, 2024",MLC ASSOCIES INC.,"Laval, QC",25.00 HOUR,37.5 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40638593?source=searchresults
horticulturist helper,"Posted on March 18, 2024",VILLE DE LA POCATIERE,"La Pocatière, QC",19.25 HOUR,35 hours per week,Seasonal employmentFull time,,4 vacancies,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40547463?source=searchresults
glass installer-glazier,"Posted on March 26, 2024",Aubut & Beauregard Vitres d'autos inc.,"Laval, QC",25.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40620904?source=searchresults
RMT (registered massage therapist),"Posted on March 22, 2024","Aquamer Thalasso-Spa, 9376-8679 QUEBEC INC.","Carleton-sur-Mer, QC",18.50 HOUR,32 hours per week,Seasonal employmentPart time leading to full time,,2 vacancies,,,,,,5/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40590114?source=searchresults
Electrical Engineer,"Posted on March 25, 2024",National Defence - Assistant Deputy Minister (Infrastructure and Environment),"Edmonton, , AB","104,135 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40614709?source=searchresults
cleaner,"Posted on March 25, 2024",Brille-O-Max inc.,"Québec, QC",20.57 HOUR,40 hours per week,Permanent employmentFull time,,2 vacancies,French,"No degree, certificate or diploma",1 year to less than 2 years,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40612454?source=searchresults
electrical mechanic,"Posted on March 25, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Louiseville, QC",23.12 HOUR,38.75 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40615452?source=searchresults
early childhood educator (ECE),"Posted on March 20, 2024",CENTRE DE LA PETITE ENFANCE   LA VEILLEUSE,"Saint-Marc-des-Carrières, QC",17.09 WEEKLY,32 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568159?source=searchresults
filing clerk,"Posted on March 25, 2024",Centre de services scolaire des Patriotes,"Saint-Bruno-de-Montarville, QC",23.12 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616591?source=searchresults
head mixer - bakery,"Posted on March 15, 2024",Entosystem,"Drummondville, QC",21.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527437?source=searchresults
salvage clerk,"Posted on March 17, 2024",Mathieu Performance,"Québec, QC",15.25 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40539044?source=searchresults
food counter attendant,"Posted on March 26, 2024",Gestion Catherine Giguère Inc.,"Mirabel, QC",15.25 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"No degree, certificate or diploma",Will train,"Clear and clean tables, trays and chairs, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors","Dental plan, Health care plan, Night shift premium",4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40625230?source=searchresults
accounting clerk,"Posted on March 13, 2024",Henriquez Avocats Inc.,"Montréal, QC",21.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40507332?source=searchresults
early childhood educator - kindergarten,"Posted on March 12, 2024",CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000,"Métabetchouan, QC",18.52 HOUR,15 hours per week,Casual employmentPart time,,2 vacancies,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40493001?source=searchresults
food processing quality control technologist,"Posted on March 07, 2024",PATISSERIE LE FRAISIER INC,"Laval, QC",25.00 HOUR,38 hours per week,Permanent employmentPart time leading to full time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40449398?source=searchresults
grounds maintainer,"Posted on March 20, 2024",LA FABRIQUE DE LA PAROISSE DE LE BON PASTEUR,"Longueuil, QC",18.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40567023?source=searchresults
administration officer,"Posted on March 07, 2024",MINISTERE DES FINANCES,"Québec, QC",19.97 HOUR,14 hours per week,Seasonal employmentPart time,,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40454737?source=searchresults
RN (registered nurse),"Posted on March 15, 2024",CISSS DE LA MONTÉRÉGIE-EST,"Saint-Hyacinthe, QC",25.81 HOUR,35 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40526938?source=searchresults
receptionist-secretary,"Posted on March 18, 2024",GOGiunta,"Sherbrooke, QC",19.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40551533?source=searchresults
concrete mixer operator - concrete manufacturing,"Posted on March 12, 2024",BETON PROVINCIAL LTEE,"Gatineau, QC",28.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40489025?source=searchresults
welder,"Posted on January 10, 2024",DELAFONTAINE INC.,"Sherbrooke, QC",21.29 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English or French,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40261686?source=searchresults
child care provider - private home,"Posted on February 02, 2024",Karim Ben Rhouma,"Outremont, QC",610 WEEKLY,40 hours per week,Permanent employmentFull time,,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Perform light housekeeping and cleaning duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Instruct children in personal hygiene and social development, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Supervise and care for children, Tend to emotional well-being of children, Help children with homework",,4/28/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40187079?source=searchresults
"labourer, sawmill","Posted on March 21, 2024",Preverco inc.,"Saint-Augustin-de-Desmaures, QC",18.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40580677?source=searchresults
physical therapist,"Posted on March 19, 2024",CLINIQUE DE PHYSIOTHERAPIE DESORMEAUX INC,"Montréal, QC",50.00 HOUR,16 to 35 hours per week,Permanent employmentPart time,Starts as soon as possible,1 vacancy,French,Bachelor's degree,Experience an asset,"Assess patients' physical abilities, Administer evaluative tests and procedures, Plan physiotherapy programs, Select appropriate exercises, apparatus and manipulations, Maintain clinical and progress reports, Confer with other health professionals","Paid time off (volunteering or personal days), Variable or compressed work week",4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40557007?source=searchresults
pet store manager,"Posted on March 27, 2024",Dépanneur Super Soir,"Lévis, QC",18.25 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40641237?source=searchresults
festival organizer,"Posted on March 20, 2024",MUSIQUE DU BOUT DU MONDE,"Gaspé, QC",18.5 WEEKLY,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40569359?source=searchresults
"driver, truck","Posted on March 15, 2024",Sanivac,"Québec, QC",26.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40523720?source=searchresults
computer network technician,"Posted on March 26, 2024",MINISTERE DES AFFAIRES MUNICIPALES ET DE L'HABITATION,"Québec, QC",21.37 HOUR,35 hours per week,Term or contractFull time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624992?source=searchresults
shop clerk,"Posted on March 20, 2024",MICHAEL ROSSY LTEE,"Montréal, QC",15.25 HOUR,25 hours per week,Permanent employmentPart time leading to full time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568894?source=searchresults
chief technology officer (CTO),"Posted on March 26, 2024",PECB Group Inc.,"Saint-Léonard, QC","84,000 YEAR",40 hours per week,Term or contract (ending: 2025-09-01)Full time,,1 vacancy,English,Bachelor's degree,5 years or more,"Allocate material, human and financial resources to implement organizational policies and programs, Authorize and organize the establishment of major departments and associated senior staff positions, Establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning, Establish objectives for the organization and formulate or approve policies and programs, Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions, Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions, Manage events, Conduct performance reviews, Project management, More than 20 people, Working groups, Committees, Staff in various areas of responsibility, Contractors",Travel insurance,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624671?source=searchresults
pay clerk,"Posted on March 06, 2024",Fed Finance,"LaSalle, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40440536?source=searchresults
school custodian,"Posted on March 25, 2024",CENTRE DE SERVICES SCOLAIRE DE L'ESTUAIRE,"Baie-Trinité, QC",22.59 BIWEEKLY,25 hours per week,Term or contractPart time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40612580?source=searchresults
dental hygienist,"Posted on March 24, 2024",Centre dentaire Drapeau et Bouchard,"Sainte-Anne-de-Beaupré, QC",40.00 HOUR,32 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,French,College/CEGEP,Experience an asset,"Conduct initial dental assessments and consult with dentists on patient care, Take dental impressions, Instruct patients regarding oral hygiene, Clean and stimulate the gums to prevent gum disease, Apply fluoride treatment, Remove stains and deposits from teeth, Take, develop and mount X-rays, Diagnose type and severity of diseases","Free parking available, Learning/training paid by employer, Other benefits",4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40607661?source=searchresults
parent's helper,"Posted on January 11, 2024",Ryan Moskovic,"Westmount, QC",15.25 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Travel with family on trips and assist with child supervision and housekeeping duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Supervise and care for children, Take children to and from school and to appointments, Tend to emotional well-being of children, Help children with homework",,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40002770?source=searchresults
nail care technician,"Posted on March 25, 2024",9369-2739 Quebec inc.,"Montréal, QC",17.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,Secondary (high) school graduation certificate,1 to less than 7 months,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40613517?source=searchresults
"cleaner, ventilation system","Posted on March 22, 2024",AIRMATIC VENTILATION INC.,"Anjou, QC",21 WEEKLY,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40589623?source=searchresults
grocery clerk,"Posted on March 13, 2024",SUPERMARCHE BOUCHER INC,"Saint-Jean-de-Matha, QC",15.25 HOUR,30 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40505272?source=searchresults
fire department duty officer,"Posted on March 15, 2024",PROTECTION INCENDIE VIKING    INC.,"Saint-Laurent, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40524236?source=searchresults
inside sales representative,"Posted on March 13, 2024",Hydro Solution,"Anjou, QC",21.12 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40595946?source=searchresults
"clerk, maintenance service","Posted on March 13, 2024",FaunENord,"Chibougamau, QC",16.00 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40501673?source=searchresults
sprinkler fitter,"Posted on February 29, 2024",PREVENTION INCENDIE SAFETY FIRST INC,"Saint-Hubert, QC",24.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40393933?source=searchresults
cook,"Posted on March 22, 2024",9211-2127 QUEBEC INC.,"Saint-Georges, QC",17 BIWEEKLY,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40592145?source=searchresults
construction labourer and helper,"Posted on March 11, 2024",CLUB DE VOILE DEUX-MONTAGNES  INC.,"Vaudreuil-sur-le-Lac, QC",18.00 HOUR,40 hours per week,Seasonal employmentFull time,,2 vacancies,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40486591?source=searchresults
administrative assistant - office,"Posted on March 28, 2024",MINISTÈRE DE LA SECURITE PUBLIQUE,"Montréal, QC",23.71 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649410?source=searchresults
"designer, mechanical engineering equipment","Posted on March 13, 2024",Techsol Marine inc,"Québec, QC",25.39 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Bilingual,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",2 years to less than 3 years,"Assist in preparing design, drawings and specifications, Assist in the design of moulds, tools, dies, jigs and fixtures, Computer-aided design (CAD), Prepare and interpret engineering design, drawings and specifications","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Long-term care insurance, Deferred Profit Sharing Plan (DPSP), Free parking available, Parking available, Travel insurance, Variable or compressed work week, Wellness program",4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40505643?source=searchresults
design draftsperson,"Posted on March 18, 2024",Université de Montréal,"Montréal, QC",23.13 YEAR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40547170?source=searchresults
kitchen helper,"Posted on March 04, 2024",9209-2501 QUEBEC INC,"Granby, QC",15.25 HOUR,35 to 40 hours per week,Term or contractFull time,Starts as soon as possible,1 vacancy,English or French,"Secondary (high) school graduation certificate

or equivalent experience",Will train,"Bring clean dishes, flatware and other items to serving areas and set tables, Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Load buspans and trays, Operate dishwashers to wash dishes, glassware and flatware, Sanitize and wash dishes and other items by hand, Scour pots and pans, Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Stock refrigerators and salad bars, Use manual and electrical appliances to clean, peel, slice and trim foodstuffs, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sharpen kitchen knives, Sweep, mop, wash and polish floors, Wash, peel and cut vegetables and fruit, Kitchen and food service helpers","Maternity and parental benefits, Free parking available, Learning/training paid by employer, Parking available",4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40419137?source=searchresults
geological engineer,"Posted on March 09, 2024",Groupe conseil UDA,"Varennes, QC",26.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40465096?source=searchresults
construction equipment sales representative,"Posted on March 27, 2024",VENDVIT.CA INC.,"Montréal, QC",18 WEEKLY,35 hours per week,Permanent employmentFull time,,5 vacancies,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40643892?source=searchresults
administrative assistant,"Posted on March 13, 2024",ASSOCIATION ÉCHEC ET MATHÉMATIQUES,"Montréal, QC",18.00 HOUR,37.5 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40501645?source=searchresults
heavy equipment mechanic,"Posted on March 19, 2024",Camions Avantage Inc.,"Saguenay, QC",19.01 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40554032?source=searchresults
computer network technician,"Posted on February 07, 2024",Gestion F.D Desharnais Inc.,"Québec, QC",22.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,French,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",2 years to less than 3 years,No supervision responsibility,"Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Life insurance, Pension plan, Registered Retirement Savings Plan (RRSP), Long-term care insurance, Maternity and parental benefits, Free parking available, Learning/training paid by employer, On-site amenities, Paid time off (volunteering or personal days), Team building opportunities, Parking available",4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40224104?source=searchresults
computer projects manager,"Posted on March 06, 2024",Fed IT,"Montréal, QC","100,000 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40436957?source=searchresults
early childhood educator - special needs,"Posted on March 06, 2024",CPE Au petit nuage,"Montréal, QC",18.52 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40441247?source=searchresults
administrative assistant,"Posted on March 06, 2024",Groupe EEA inc.,"Terrebonne, QC","45,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40440510?source=searchresults
fisheries officer,"Posted on March 06, 2024",CLUB DE CHASSE ET PECHE DE RIPON INC,"Ripon, QC",17.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40477639?source=searchresults
breakfast cook,"Posted on March 06, 2024",Amy's Dejeuner,"Dollard-des-Ormeaux, QC",21.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40436463?source=searchresults
administrative services officer,"Posted on March 18, 2024",Centre de services scolaire de la Pointe-de-l'Île,"Pointe-aux-Trembles, QC","60,864 YEAR",,,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40549977?source=searchresults
associate registrar,"Posted on March 11, 2024",Conseil en Éducation des Premières Nations (CEPN),"Odanak, QC","71,062.00 HOUR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480269?source=searchresults
heavy diesel engine mechanic,"Posted on March 11, 2024",L.J.L. Mécanique Électrique inc.,"Rouyn-Noranda, QC",38.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40482668?source=searchresults
computer graphics design technician,"Posted on March 11, 2024",Pattes et Griffes,"Terrebonne, QC",20.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40482122?source=searchresults
